stream_id,username,fullname,komentar,tanggal,likes,replies,topics,clean_text,tokens,normalized,no_stopword,negation,stems,stem_text,length,label,token_count,tanggal_dt,sentiment_score
31548273,DideDide,Dide Yuks,"$BUMI kami reteilerrr holddd kerasss anti cutlossss 🔥🔥🔥
Reteiler VS Bandarrrr 🔥🔥🔥

colek2 unyu $AADI $BMRI",2026-05-11 11:15:25,1,0,"BUMI, AADI, BMRI",bumi kami reteilerr holdd kerass anti cutloss reteiler vs bandarr colek unyu aadi bmri,"['bumi', 'kami', 'reteilerr', 'holdd', 'kerass', 'anti', 'cutloss', 'reteiler', 'vs', 'bandarr', 'colek', 'unyu', 'aadi', 'bmri']","['bumi', 'kami', 'reteilerr', 'hold', 'keras', 'anti', 'cutloss', 'reteiler', 'vs', 'bandarr', 'colek', 'unyu', 'aadi', 'bmri']","['bumi', 'reteilerr', 'hold', 'keras', 'anti', 'cutloss', 'reteiler', 'vs', 'bandarr', 'colek', 'unyu', 'aadi', 'bmri']","['bumi', 'reteilerr', 'hold', 'keras', 'anti', 'cutloss', 'reteiler', 'vs', 'bandarr', 'colek', 'unyu', 'aadi', 'bmri']","['bumi', 'reteilerr', 'hold', 'keras', 'anti', 'cutloss', 'reteiler', 'vs', 'bandarr', 'colek', 'unyu', 'aadi', 'bmri']",bumi reteilerr hold keras anti cutloss reteiler vs bandarr colek unyu aadi bmri,79,0,13,2026-05-11 11:15:25+00:00,-2.0
31548220,Petanilokal,Muhammad Fadhillah,"$BUMI

anying yang ngerekom buy 228-236",2026-05-11 11:15:03,0,1,BUMI,bumi anying yang ngerekom buy,"['bumi', 'anying', 'yang', 'ngerekom', 'buy']","['bumi', 'anying', 'yang', 'ngerekom', 'buy']","['bumi', 'anying', 'ngerekom', 'buy']","['bumi', 'anying', 'ngerekom', 'buy']","['bumi', 'anying', 'ngerekom', 'buy']",bumi anying ngerekom buy,24,2,4,2026-05-11 11:15:03+00:00,0.0
31548029,DapaYoi,Mas Dapa,"$KOTA $BUMI


$KLBFHDCK6A",2026-05-11 11:13:16,0,0,"KOTA, BUMI, KLBFHDCK6A",kota bumi klbfhdcka,"['kota', 'bumi', 'klbfhdcka']","['kota', 'bumi', 'klbfhdcka']","['kota', 'bumi', 'klbfhdcka']","['kota', 'bumi', 'klbfhdcka']","['kota', 'bumi', 'klbfhdcka']",kota bumi klbfhdcka,19,0,3,2026-05-11 11:13:16+00:00,-1.0
31547898,RefhanFazri,Refhan Fazri Handianto ,$DPUM saat nya serok $IHSG $BUMI,2026-05-11 11:12:12,1,0,"DPUM, IHSG, BUMI",dpum saat nya serok ihsg bumi,"['dpum', 'saat', 'nya', 'serok', 'ihsg', 'bumi']","['dpum', 'saat', 'nya', 'serok', 'ihsg', 'bumi']","['dpum', 'serok', 'ihsg', 'bumi']","['dpum', 'serok', 'ihsg', 'bumi']","['dpum', 'serok', 'ihsg', 'bumi']",dpum serok ihsg bumi,20,2,4,2026-05-11 11:12:12+00:00,0.0
31547677,fafafifu,,Nyimak aja deh $BUMI ayo jebolin kebawah 😂 $BBRI $BBCA,2026-05-11 11:10:09,0,0,,nyimak aja deh bumi ayo jebolin kebawah bbri bbca,"['nyimak', 'aja', 'deh', 'bumi', 'ayo', 'jebolin', 'kebawah', 'bbri', 'bbca']","['nyimak', 'aja', 'deh', 'bumi', 'ayo', 'jebolin', 'kebawah', 'bbri', 'bbca']","['nyimak', 'bumi', 'ayo', 'jebolin', 'kebawah', 'bbri', 'bbca']","['nyimak', 'bumi', 'ayo', 'jebolin', 'kebawah', 'bbri', 'bbca']","['nyimak', 'bumi', 'ayo', 'jebolin', 'bawah', 'bbri', 'bbca']",nyimak bumi ayo jebolin bawah bbri bbca,39,1,7,2026-05-11 11:10:09+00:00,4.0
31547585,Ozyfd,Fhrez Damn,$BUMI anjlok gini cuy,2026-05-11 11:09:22,2,2,BUMI,bumi anjlok gini cuy,"['bumi', 'anjlok', 'gini', 'cuy']","['bumi', 'anjlok', 'gini', 'cuy']","['bumi', 'anjlok', 'gini', 'cuy']","['bumi', 'anjlok', 'gini', 'cuy']","['bumi', 'anjlok', 'gin', 'cuy']",bumi anjlok gin cuy,19,0,4,2026-05-11 11:09:22+00:00,-4.0
31547406,felikary0621,Work Harder and Smarter,$BUMI cutloss kalo dibawah 200,2026-05-11 11:07:57,0,2,bumi,bumi cutloss kalo dibawah,"['bumi', 'cutloss', 'kalo', 'dibawah']","['bumi', 'cutloss', 'kalo', 'dibawah']","['bumi', 'cutloss', 'dibawah']","['bumi', 'cutloss', 'dibawah']","['bumi', 'cutloss', 'bawah']",bumi cutloss bawah,18,2,3,2026-05-11 11:07:57+00:00,0.0
31547277,rusandirz,Life,"$BUMI Too many people are competing to get the lowest price, let the dealer move the price of your goods",2026-05-11 11:06:58,0,0,BUMI,bumi too many people are competing to get the lowest price let the dealer move the price of your goods,"['bumi', 'too', 'many', 'people', 'are', 'competing', 'to', 'get', 'the', 'lowest', 'price', 'let', 'the', 'dealer', 'move', 'the', 'price', 'of', 'your', 'goods']","['bumi', 'too', 'many', 'people', 'are', 'competing', 'to', 'get', 'the', 'lowest', 'price', 'let', 'the', 'dealer', 'move', 'the', 'price', 'of', 'your', 'goods']","['bumi', 'too', 'many', 'people', 'are', 'competing', 'to', 'get', 'the', 'lowest', 'price', 'let', 'the', 'dealer', 'move', 'the', 'price', 'of', 'your', 'goods']","['bumi', 'too', 'many', 'people', 'are', 'competing', 'to', 'get', 'the', 'lowest', 'price', 'let', 'the', 'dealer', 'move', 'the', 'price', 'of', 'your', 'goods']","['bumi', 'too', 'many', 'people', 'are', 'competing', 'to', 'get', 'the', 'lowest', 'price', 'let', 'the', 'dealer', 'move', 'the', 'price', 'of', 'your', 'goods']",bumi too many people are competing to get the lowest price let the dealer move the price of your goods,102,2,20,2026-05-11 11:06:58+00:00,0.0
31547257,senji93,Senji,$DSSA $BUMI $IHSG,2026-05-11 11:06:50,1,0,"dssa, bumi, ihsg",dssa bumi ihsg,"['dssa', 'bumi', 'ihsg']","['dssa', 'bumi', 'ihsg']","['dssa', 'bumi', 'ihsg']","['dssa', 'bumi', 'ihsg']","['dssa', 'bumi', 'ihsg']",dssa bumi ihsg,14,2,3,2026-05-11 11:06:50+00:00,0.0
31547242,IlhamLuqmanulHakim,Yam4kkk,$BUMI haka sebelum terlambat,2026-05-11 11:06:45,1,0,BUMI,bumi haka sebelum terlambat,"['bumi', 'haka', 'sebelum', 'terlambat']","['bumi', 'haka', 'sebelum', 'terlambat']","['bumi', 'haka', 'terlambat']","['bumi', 'haka', 'terlambat']","['bumi', 'haka', 'lambat']",bumi haka lambat,16,1,3,2026-05-11 11:06:45+00:00,1.0
31547104,AhmadFauzan2006,unknown,"$LAND bjirlah sapa ini yg nembokin, awasss 

$BUMI $MEDS",2026-05-11 11:05:39,0,2,"LAND, BUMI, MEDS",land bjirlah sapa ini yg nembokin awass bumi meds,"['land', 'bjirlah', 'sapa', 'ini', 'yg', 'nembokin', 'awass', 'bumi', 'meds']","['land', 'bjirlah', 'sapa', 'ini', 'yg', 'nembokin', 'awass', 'bumi', 'meds']","['land', 'bjirlah', 'sapa', 'nembokin', 'awass', 'bumi', 'meds']","['land', 'bjirlah', 'sapa', 'nembokin', 'awass', 'bumi', 'meds']","['land', 'bjirlah', 'sapa', 'nembokin', 'awass', 'bumi', 'meds']",land bjirlah sapa nembokin awass bumi meds,42,2,7,2026-05-11 11:05:39+00:00,0.0
31547051,FRosi04,Fahrur Rosi,"$WBSA 2 lot wbsa NGUR5X6CRRTR
$BNBR $BUMI",2026-05-11 11:05:17,0,0,"WBSA, BNBR, BUMI",wbsa lot wbsa ngurxcrrtr bnbr bumi,"['wbsa', 'lot', 'wbsa', 'ngurxcrrtr', 'bnbr', 'bumi']","['wbsa', 'lot', 'wbsa', 'ngurxcrrtr', 'bnbr', 'bumi']","['wbsa', 'lot', 'wbsa', 'ngurxcrrtr', 'bnbr', 'bumi']","['wbsa', 'lot', 'wbsa', 'ngurxcrrtr', 'bnbr', 'bumi']","['wbsa', 'lot', 'wbsa', 'ngurxcrrtr', 'bnbr', 'bumi']",wbsa lot wbsa ngurxcrrtr bnbr bumi,34,0,6,2026-05-11 11:05:17+00:00,-5.0
31546871,Jlasili,Kim Bo Huo,$BUMI,2026-05-11 11:04:06,0,2,BUMI,bumi,['bumi'],['bumi'],['bumi'],['bumi'],['bumi'],bumi,4,2,1,2026-05-11 11:04:06+00:00,0.0
